Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| 11  | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | TGF-β1 (2.5 ng/mL), Insulin (5 μM) | 37°C | 7.2 | 12% |
| 12  | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | HGF (10 ng/mL), EGF (5 ng/mL) | 37°C | 7.1 | 9% |
| 13  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (25 ng/mL), bFGF (12.5 ng/mL) | 37°C | 7.3 | 16% |
| 14  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (50 ng/mL), FGF10 (25 ng/mL) | 37°C | 7.2 | 14% |
| 15  | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | VEGF-A (75 ng/mL), Heparin (250 ng/mL) | 37°C | 7.1 | 10% |
| 16  | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | TGF-β1 (1.25 ng/mL), Insulin (2.5 μM) | 37°C | 7.2 | 9% |
| 17  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (12.5 ng/mL), bFGF (6.25 ng/mL) | 37°C | 7.3 | 14% |
| 18  | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | HGF (5 ng/mL), EGF (2.5 ng/mL) | 37°C | 7.1 | 8% |
| 19  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (25 ng/mL), FGF10 (12.5 ng/mL) | 37°C | 7.2 | 12% |
| 20  | E8 media | 50 RPM | 24-well plate, 4.5 cm²/well | VEGF-A (50 ng/mL), Heparin (125 ng/mL) | 37°C | 7.1 | 6% |
| 21  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (0.625 ng/mL), Insulin (1.25 μM) | 37°C | 7.3 | 10% |

Note: Media changes and growth factor additions are based on standard protocols for hepatocyte differentiation from stem cells, but may need to be adjusted for specific cell lines or experimental conditions.
Generating protocol 391 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | B-27 Supplement | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF4 (200 ng/mL), SB431542 (10 μM) | 37°C | 7.4 | 20% |
| 3   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | VEGF (100 ng/mL), Heparin (1 μg/mL) | 37°C | 7.4 | 15% |
| 4   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), FGF1 (100 ng/mL) | 37°C | 7.4 | 15% |
| 5   | L-WRN medium | 0 RPM | Collagen-coated well, 14 mm | PDGFD (500 ng/mL), DKK-1 (50 μg/mL) | 37°C | 7.2 | 10% |
| 6   | L-WRN medium | 0 RPM | Collagen-coated well, 14 mm | TGF-β1 (2.5 ng/mL), EGF (20 ng/mL) | 37°C | 7.2 | 10% |
| 7   | L-WRN medium | 50 RPM | Collagen-coated well, 14 mm | IGF-1 (100 ng/mL), SDF-1α (200 ng/mL) | 37°C | 7.2 | 10% |
| 8   | L-WRN medium | 50 RPM | Collagen-coated well, 14 mm | HGF (100 ng/mL), VEGF-A (100 ng/mL) | 37°C | 7.2 | 10% |
| 9   | L-WRN medium | 0 RPM | Collagen-coated well, 14 mm | Noggin (50 μg/mL), Activin A (100 ng/mL) | 37°C | 7.2 | 5% |
| 10  | L-WRN medium | 0 RPM | Collagen-coated well, 14 mm | TGF-β1 (2.5 ng/mL), BMP4 (200 ng/mL) | 37°C | 7.2 | 5% |
| 11  | L-WRN medium | 50 RPM | Collagen-coated well, 14 mm | IGF-2 (100 μg/mL), PDGFB (50 ng/mL) | 37°C | 7.2 | 5% |
| 12  | L-WRN medium | 50 RPM | Collagen-coated well, 14 mm | VEGF-A (100 ng/mL), HGF (100 ng/mL) | 37°C | 7.2 | 5% |
| 13  | L-WRN medium | 0 RPM | Collagen-coated well, 14 mm | EGF (20 ng/mL), DKK-1 (50 μg/mL) | 37°C | 7.2 | 10% |
| 14  | L-WRN medium | 0 RPM | Collagen-coated well, 14 mm | TGF-β1 (2.5 ng/mL), FGF4 (200 ng/mL) | 37°C | 7.2 | 10% |
| 15  | Matrigel | 50 RPM | Collagen-coated dish, 100 mm | VEGF-A (100 ng/mL), PDGFD (500 ng/mL) | 37°C | 7.4 | 20% |
| 16  | Matrigel | 50 RPM | Collagen-coated dish, 100 mm | IGF-1 (100 ng/mL), SDF-1α (200 ng/mL) | 37°C | 7.4 | 20% |
| 17  | Matrigel | 0 RPM | Collagen-coated dish, 100 mm | HGF (100 ng/mL), BMP4 (200 ng/mL) | 37°C | 7.4 | 15% |
| 18  | Matrigel | 0 RPM | Collagen-coated dish, 100 mm | Activin A (100 ng/mL), TGF-β1 (2.5 ng/mL) | 37°C | 7.4 | 15% |
| 19  | Matrigel | 50 RPM | Collagen-coated dish, 100 mm | EGF (20 ng/mL), DKK-1 (50 μg/mL) | 37°C | 7.4 | 15% |
| 20  | Matrigel | 50 RPM | Collagen-coated dish, 100 mm | IGF-2 (100 μg/mL), PDGFB (50 ng/mL) | 37°C | 7.4 | 15% |
| 21  | Matrigel | 0 RPM | Collagen-coated dish, 100 mm | VEGF-A (100 ng/mL), HGF (100 ng/mL) | 37°C | 7.4 | 20% |

Note: All concentrations are in μg/mL or ng/mL as specified unless otherwise stated.
Generating protocol 392 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | BMP4 (50 ng/mL), FGF4 (100 ng/mL) | 37°C | 7.4 | 20% |
| 3   | HepGFR+TeSR | 0 RPM | 24-well plate, 2 cm²/well | LIF (10 ng/mL), VEGF (50 ng/mL) | 37°C | 7.4 | 15% |
| 4   | HepGFR+TeSR | 50 RPM | 24-well plate, 2 cm²/well | EGF (20 ng/mL), HGF (10 ng/mL) | 37°C | 7.4 | 15% |
| 5   | HepGFR+TeSR | 0 RPM | 24-well plate, 2 cm²/well | Oncostatin M (50 ng/mL), PDGF (20 ng/mL) | 37°C | 7.4 | 10% |
| 6   | H-DMEM | 100 RPM | 12-well plate, 3 cm²/well | FGF2 (100 ng/mL), VEGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 7   | H-DMEM | 0 RPM | 12-well plate, 3 cm²/well | PDGFB (10 ng/mL), EGF (20 ng/mL) | 37°C | 7.4 | 15% |
| 8   | H-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (10 ng/mL), bFGF (20 ng/mL) | 37°C | 7.3 | 15% |
| 9   | H-DMEM | 0 RPM | 6-well plate, 9.5 cm²/well | VEGFA (50 ng/mL), FGF1 (100 ng/mL) | 37°C | 7.3 | 10% |
| 10  | H-DMEM | 100 RPM | 12-well plate, 3 cm²/well | PDGFB (20 ng/mL), EGF (10 ng/mL) | 37°C | 7.2 | 20% |
| 11  | H-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (30 ng/mL), VEGFA (100 ng/mL) | 37°C | 7.2 | 15% |
| 12  | H-DMEM | 0 RPM | 24-well plate, 2 cm²/well | LIF (20 ng/mL), HGF (50 ng/mL) | 37°C | 7.1 | 10% |
| 13  | H-DMEM | 100 RPM | 12-well plate, 3 cm²/well | EGF (30 ng/mL), PDGFB (10 ng/mL) | 37°C | 7.1 | 20% |
| 14  | H-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | VEGFA (100 ng/mL), FGF2 (200 ng/mL) | 37°C | 7.0 | 15% |
| 15  | H-DMEM | 0 RPM | 24-well plate, 2 cm²/well | bFGF (50 ng/mL), LIF (10 ng/mL) | 37°C | 6.9 | 10% |
| 16  | H-DMEM | 100 RPM | 12-well plate, 3 cm²/well | HGF (20 ng/mL), EGF (40 ng/mL) | 37°C | 6.8 | 20% |
| 17  | H-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | PDGFB (30 ng/mL), VEGFA (150 ng/mL) | 37°C | 6.7 | 15% |
| 18  | H-DMEM | 0 RPM | 24-well plate, 2 cm²/well | FGF1 (200 ng/mL), bFGF (100 ng/mL) | 37°C | 6.6 | 10% |
| 19  | H-DMEM | 100 RPM | 12-well plate, 3 cm²/well | LIF (30 ng/mL), EGF (60 ng/mL) | 37°C | 6.5 | 20% |
| 20  | H-DMEM | 50 RPM | 6-well plate, 9.5 cm²/well | VEGFA (200 ng/mL), PDGFB (40 ng/mL) | 37°C | 6.4 | 15% |
| 21  | Matrigel:DMEM (1:1) | 0 RPM | 24-well plate, 2 cm²/well | FGF1 (400 ng/mL), bFGF (200 ng/mL) | 37°C | 6.3 | 10% |

Note: H-DMEM = High-glucose DMEM; HepGFR+TeSR = Hepatocyte growth factor-rich TeSR media.
Generating protocol 393 for model llama3.1:8b
Here is the detailed protocol for generating liver organoids from H9 human embryonic stem cells (hESC):

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 50 RPM | T-75 flask, 175 cm² | None | 37.5 | 7.2 | 18% |
| 1   | mTeSR1 | 50 RPM | T-75 flask, 175 cm² | Activin A (100 ng/mL), bFGF (100 ng/mL) | 37.5 | 7.2 | 18% |
| 1   | None    | -      | -                    | BMP4 (25 μM) | -      | -     | -       |
| 2   | mTeSR1 | 50 RPM | T-75 flask, 175 cm² | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 3   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 3   | ESGRO    | -      | -                    | Heparin (1 mg/mL) | -      | -     | -       |
| 4   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL), ESGRO (10 μM) | 37.5 | 7.2 | 18% |
| 5   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 6   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 7   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 8   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 9   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 10  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 11  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 12  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 13  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 14  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 15  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (100 ng/mL), VEGF (20 ng/mL) | 37.5 | 7.2 | 18% |
| 16  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 μM), Activin A (100 ng/mL), bFGF (100 ng/mL) | 37.5 | 7.2 | 18% |
| 17  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 μM), Activin A (100 ng/mL), bFGF (100 ng/mL) | 37.5 | 7.2 | 18% |
| 18  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 μM), Activin A (100 ng/mL), bFGF (100 ng/mL) | 37.5 | 7.2 | 18% |
| 19  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 μM), Activin A (100 ng/mL), bFGF (100 ng/mL) | 37.5 | 7.2 | 18% |
| 20  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 μM), Activin A (100 ng/mL), bFGF (100 ng/mL) | 37.5 | 7.2 | 18% |
| 21  | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 μM), Activin A (100 ng/mL), bFGF (100 ng/mL) | 37.5 | 7.2 | 18% |

Generating protocol 394 for model llama3.1:8b
**Liver Organoid Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 0 RPM | V-bottom flask, 250 mL | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.3 | 18% |
| 3   | TeSR2 | 0 RPM | V-bottom flask, 500 mL | Wnt3a (100 ng/mL) | 37°C | 7.2 | 15% |
| 4   | TeSR2 | 50 RPM | T25 flask, 10 cm² | BMP4 (20 μM), FGF1 (20 ng/mL) | 37°C | 7.3 | 18% |
| 5   | TeSR2 | 0 RPM | V-bottom flask, 1000 mL | HGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 6   | TeSR2 | 50 RPM | T75 flask, 25 cm² | FGF1 (50 ng/mL), PDGFA (50 ng/mL) | 37°C | 7.3 | 18% |
| 7   | TeSR2 | 0 RPM | V-bottom flask, 2000 mL | TGF-β1 (10 ng/mL), Noggin (100 ng/mL) | 37°C | 7.4 | 20% |
| 8   | TeSR2 | 50 RPM | T150 flask, 50 cm² | Activin A (500 ng/mL), bFGF (250 ng/mL) | 37°C | 7.3 | 18% |
| 9   | TeSR2 | 0 RPM | V-bottom flask, 3000 mL | BMP4 (100 μM), FGF1 (50 ng/mL) | 37°C | 7.2 | 15% |
| 10  | DMEM/F12 | 0 RPM | T175 flask, 75 cm² | HGF (100 ng/mL), EGF (20 ng/mL) | 36°C | 7.5 | 18% |
| 11  | DMEM/F12 | 50 RPM | V-bottom flask, 4000 mL | FGF1 (200 ng/mL), PDGFA (200 ng/mL) | 36°C | 7.4 | 20% |
| 12  | DMEM/F12 | 0 RPM | T300 flask, 150 cm² | TGF-β1 (20 ng/mL), Noggin (500 ng/mL) | 36°C | 7.5 | 18% |
| 13  | DMEM/F12 | 50 RPM | V-bottom flask, 6000 mL | Activin A (1000 ng/mL), bFGF (500 ng/mL) | 36°C | 7.4 | 20% |
| 14  | Hepes buffer | 0 RPM | T175 flask, 75 cm² | HGF (200 ng/mL), EGF (50 ng/mL) | 37°C | 7.8 | 15% |
| 15  | Hepes buffer | 50 RPM | V-bottom flask, 500 mL | FGF1 (100 ng/mL), PDGFA (100 ng/mL) | 37°C | 7.9 | 18% |
| 16  | Hepes buffer | 0 RPM | T300 flask, 150 cm² | TGF-β1 (50 ng/mL), Noggin (1000 ng/mL) | 37°C | 8.0 | 20% |
| 17  | DMEM/F12 | 50 RPM | V-bottom flask, 2000 mL | Activin A (500 ng/mL), bFGF (250 ng/mL) | 36°C | 7.5 | 18% |
| 18  | TeSR2 | 0 RPM | T175 flask, 75 cm² | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.4 | 20% |
| 19  | DMEM/F12 | 50 RPM | V-bottom flask, 3000 mL | FGF1 (200 ng/mL), PDGFA (200 ng/mL) | 36°C | 7.5 | 18% |
| 20  | Hepes buffer | 0 RPM | T300 flask, 150 cm² | TGF-β1 (100 ng/mL), Noggin (500 ng/mL) | 37°C | 8.0 | 15% |
| 21  | Hepes buffer | 50 RPM | V-bottom flask, 4000 mL | - | 37°C | 7.9 | 20% |

Note: The protocol includes a transition from TeSR2 to DMEM/F12 and then back to Hepes buffer to closely mimic the natural liver microenvironment and promote maturation of the organoids.
Generating protocol 395 for model llama3.1:8b
**Liver Organoid Development Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well |  | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 0 RPM | U-bottom plate, 10 mL/sample | BMP4 (200 ng/mL), Noggin (100 ng/mL) | 37°C | 7.4 | 20% |
| 3   | mTeSR1 | 50 RPM | U-bottom plate, 10 mL/sample |  | 37°C | 7.4 | 20% |
| 4   | DMEM/F12 | 0 RPM | T25 flask, 15 cm²/flask | FGF2 (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.3 | 18% |
| 5   | DMEM/F12 | 50 RPM | T25 flask, 15 cm²/flask |  | 37°C | 7.3 | 18% |
| 6   | DMEM/F12 | 0 RPM | U-bottom plate, 10 mL/sample | HGF (100 ng/mL), VEGF-A (20 ng/mL) | 37°C | 7.2 | 15% |
| 7   | DMEM/F12 | 50 RPM | U-bottom plate, 10 mL/sample |  | 37°C | 7.2 | 15% |
| 8   | HEPES-buffered DMEM | 0 RPM | T25 flask, 15 cm²/flask | PDGF-BB (20 ng/mL), IGF-1 (50 ng/mL) | 37°C | 7.4 | 18% |
| 9   | HEPES-buffered DMEM | 50 RPM | T25 flask, 15 cm²/flask |  | 37°C | 7.4 | 18% |
| 10  | Hepes-buffered DMEM + B27 | 0 RPM | U-bottom plate, 10 mL/sample | HGF (100 ng/mL), VEGF-A (20 ng/mL) | 37°C | 7.2 | 15% |
| 11  | Hepes-buffered DMEM + B27 | 50 RPM | U-bottom plate, 10 mL/sample |  | 37°C | 7.2 | 15% |
| 12  | HEPES-buffered DMEM + B27 | 0 RPM | T25 flask, 15 cm²/flask | IGF-1 (50 ng/mL), PDGFB (20 ng/mL) | 37°C | 7.4 | 18% |
| 13  | HEPES-buffered DMEM + B27 | 50 RPM | T25 flask, 15 cm²/flask |  | 37°C | 7.4 | 18% |
| 14  | Hepes-buffered DMEM + B27 | 0 RPM | U-bottom plate, 10 mL/sample | EGF (20 ng/mL), VEGF-A (20 ng/mL) | 37°C | 7.2 | 15% |
| 15  | Hepes-buffered DMEM + B27 | 50 RPM | U-bottom plate, 10 mL/sample |  | 37°C | 7.2 | 15% |
| 16  | HEPES-buffered DMEM + B27 | 0 RPM | T25 flask, 15 cm²/flask | FGF4 (20 ng/mL), Wnt3a (50 ng/mL) | 37°C | 7.4 | 18% |
| 17  | HEPES-buffered DMEM + B27 | 50 RPM | T25 flask, 15 cm²/flask |  | 37°C | 7.4 | 18% |
| 18  | Hepes-buffered DMEM + B27 | 0 RPM | U-bottom plate, 10 mL/sample | HGF (100 ng/mL), VEGF-A (20 ng/mL) | 37°C | 7.2 | 15% |
| 19  | Hepes-buffered DMEM + B27 | 50 RPM | U-bottom plate, 10 mL/sample |  | 37°C | 7.2 | 15% |
| 20  | HEPES-buffered DMEM + B27 | 0 RPM | T25 flask, 15 cm²/flask | PDGFB (20 ng/mL), IGF-1 (50 ng/mL) | 37°C | 7.4 | 18% |
| 21  | HEPES-buffered DMEM + B27 | 50 RPM | T25 flask, 15 cm²/flask |  | 37°C | 7.4 | 18% |

Note: The medium for each day is mTeSR1 from Day 0 to Day 5, then switches to DMEM/F12 from Day 6 to Day 9, followed by HEPES-buffered DMEM and Hepes-buffered DMEM + B27 from Day 10 onwards.
Generating protocol 396 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | B27 Supplement (1x) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 3   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 4   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 5   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | BMP4 (100 ng/mL), WNT3A (50 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 6   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | BMP4 (100 ng/mL), WNT3A (50 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 7   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | BMP4 (100 ng/mL), WNT3A (50 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 8   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), BMP4 (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 9   | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), BMP4 (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 10  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), BMP4 (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 11  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | GDF15 (50 ng/mL), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 12  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | GDF15 (50 ng/mL), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 13  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (2 ng/mL), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 14  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (2 ng/mL), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 15  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (2 ng/mL), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 16  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (2 ng/mL), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 17  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | ATRA (2 μM), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 18  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | ATRA (2 μM), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 19  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | ATRA (2 μM), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 20  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | ATRA (2 μM), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |
| 21  | mTeSR1 | 25 RPM | 6-well plate, 9.5 cm²/well | ATRA (2 μM), HGF (100 ng/mL), ESGRO (10 μM) | 37°C | 7.4 | 20% |

Generating protocol 397 for model llama3.1:8b
**Liver Organoid Development Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | B-27 Supplement (10 μM) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | VEGF (200 ng/mL), PDGF-BB (100 ng/mL) | 37°C | 7.3 | 18% |
| 3   | mTeSR1 | 0 RPM | 24-well plate, 4.8 cm²/well | TGF-β1 (10 ng/mL), Noggin (50 ng/mL) | 37°C | 7.2 | 15% |
| 4   | EGM2 | 0 RPM | 12-well plate, 3.8 cm²/well | VEGF (200 ng/mL), PDGF-BB (100 ng/mL) | 37°C | 6.9 | 10% |
| 5   | EGM2 | 50 RPM | 12-well plate, 3.8 cm²/well | FGF-4 (20 ng/mL), Wnt3a (100 ng/mL) | 37°C | 6.8 | 12% |
| 6   | EGM2 | 0 RPM | 24-well plate, 1.9 cm²/well | BMP4 (50 ng/mL), Activin A (100 ng/mL) | 37°C | 7.1 | 15% |
| 7   | mTeSR5 | 0 RPM | 6-well plate, 3.8 cm²/well | TGF-β1 (10 ng/mL), Noggin (50 ng/mL) | 37°C | 7.4 | 20% |
| 8   | mTeSR5 | 50 RPM | 6-well plate, 3.8 cm²/well | VEGF (200 ng/mL), PDGF-BB (100 ng/mL) | 37°C | 7.3 | 18% |
| 9   | mTeSR5 | 0 RPM | 24-well plate, 1.9 cm²/well | FGF-4 (20 ng/mL), Wnt3a (100 ng/mL) | 37°C | 6.8 | 12% |
